Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,294,26882,17647,10227,1442,4617,41,4618,25835,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core,294,26882,17647,10227,1442,4617,41,4618,25835,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src,294,26882,17647,10227,1442,4617,41,4618,25835,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera,4,241,100,48,3,39,0,102,581,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred,2,184,120,70,4,27,1,37,179,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices,10,1789,1150,715,114,318,5,321,1632,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine,5,302,126,65,3,49,0,127,680,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities,6,274,210,108,12,64,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components,2,63,50,20,2,13,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events,9,368,228,104,15,64,1,76,413,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos,3,548,394,234,16,93,0,61,381,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fonts,14,1258,820,481,64,215,0,223,1473,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\guis,4,225,153,80,3,48,0,24,119,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\helpers,3,270,153,87,27,37,2,80,442,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\inputs,16,658,428,201,43,121,0,109,540,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\lights,6,236,127,70,4,36,0,73,432,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\maths,23,5447,3123,1991,348,769,5,1555,9647,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\models,5,692,498,314,38,127,0,67,247,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\noise,2,2778,2266,1392,324,445,3,67,388,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\particles,19,1125,774,441,40,238,0,113,512,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\particles\spawns,9,263,192,96,5,58,0,13,50,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\physics,10,1499,867,526,97,252,0,380,2236,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\platforms,2,213,155,90,10,44,0,14,43,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\platforms\glfw,2,213,155,90,10,44,0,14,43,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\post,50,1414,1046,463,8,306,3,62,372,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\post\filters,40,984,756,314,2,227,0,1,7,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\post\pipelines,6,210,168,89,3,42,2,0,6,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\processing,11,499,300,146,17,83,0,116,515,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\processing\graphic,3,125,83,43,5,24,0,18,67,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\processing\resource,3,125,83,43,5,24,0,18,67,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\renderer,6,732,518,413,25,152,0,62,277,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\renderer\swapchain,2,245,185,130,19,52,0,8,58,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\shaders,3,149,101,54,3,26,1,22,96,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\shadows,6,668,447,288,13,127,0,94,732,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\skyboxes,6,255,180,92,2,59,0,16,65,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\sounds,2,177,132,77,3,44,0,1,2,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\space,4,282,155,70,13,50,0,77,403,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\standards,3,102,64,27,3,19,0,19,72,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\stb,1,260,77,42,0,36,9,147,958,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\tasks,2,72,47,20,2,14,0,11,49,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\terrains,7,609,461,254,57,101,9,47,214,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\test,2,37,28,11,0,9,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\textures,2,465,233,146,24,54,0,178,518,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\uis,22,1647,1177,675,66,320,0,150,807,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\visual,15,532,307,135,14,78,0,147,661,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\visual\interpolation,2,81,38,20,0,12,0,31,141,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\waters,6,529,392,225,17,113,1,24,98,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\worlds,2,170,121,72,10,36,1,13,48,0,0
